Algoritmo,Version,n,Tiempo_ms
Factorial,Iterativo,5,0.1735
Factorial,Recursivo,5,0.00125
Factorial,Iterativo,10,6.0E-4
Factorial,Recursivo,10,8.8E-4
Factorial,Iterativo,15,7.2E-4
Factorial,Recursivo,15,0.03351
Factorial,Iterativo,20,0.00675
Factorial,Recursivo,20,0.00208
Factorial,Iterativo,25,9.0E-4
Factorial,Recursivo,25,4.2E-4
Factorial,Iterativo,30,0.00131
Factorial,Recursivo,30,4.6E-4
Fibonacci,Iterativo,5,0.39303
Fibonacci,Recursivo,5,0.00232
Fibonacci,Iterativo,10,6.7E-4
Fibonacci,Recursivo,10,0.083
Fibonacci,Iterativo,15,7.7E-4
Fibonacci,Recursivo,15,0.26306
Fibonacci,Iterativo,20,9.1E-4
Fibonacci,Recursivo,20,0.05608
Fibonacci,Iterativo,25,0.00103
Fibonacci,Recursivo,25,1.04365
Fibonacci,Iterativo,30,0.00116
Fibonacci,Recursivo,30,8.55066
BusquedaLineal,Iterativo,100,0.09966
BusquedaLineal,Recursivo,100,0.01561
BusquedaLineal,Iterativo,500,0.01494
BusquedaLineal,Recursivo,500,0.71275
BusquedaLineal,Iterativo,1000,0.1696
BusquedaLineal,Recursivo,1000,0.03043
BusquedaLineal,Iterativo,5000,0.50138
BusquedaLineal,Recursivo,5000,0.07615
BusquedaLineal,Iterativo,10000,0.09152
BusquedaLineal,Recursivo,10000,1.09282
Burbuja,Iterativo,100,0.83825
Burbuja,Recursivo,100,2.78952
Burbuja,Iterativo,500,3.60755
Burbuja,Recursivo,500,0.46402
Burbuja,Iterativo,1000,2.25776
Burbuja,Recursivo,1000,2.19174
Burbuja,Iterativo,5000,60.12571
Burbuja,Recursivo,5000,52.28536
Burbuja,Iterativo,10000,326.58877
Burbuja,Recursivo,10000,265.58539
