Algoritmo,Version,n,Tiempo_ms
Factorial,Iterativo,5,0.26823
Factorial,Recursivo,5,0.00135
Factorial,Iterativo,10,6.4E-4
Factorial,Recursivo,10,9.2E-4
Factorial,Iterativo,15,7.1E-4
Factorial,Recursivo,15,0.00767
Factorial,Iterativo,20,0.00741
Factorial,Recursivo,20,0.00212
Factorial,Iterativo,25,9.1E-4
Factorial,Recursivo,25,3.8E-4
Factorial,Iterativo,30,0.00212
Factorial,Recursivo,30,4.9E-4
Fibonacci,Iterativo,5,0.28251
Fibonacci,Recursivo,5,0.00216
Fibonacci,Iterativo,10,6.2E-4
Fibonacci,Recursivo,10,0.01569
Fibonacci,Iterativo,15,8.2E-4
Fibonacci,Recursivo,15,0.10589
Fibonacci,Iterativo,20,8.6E-4
Fibonacci,Recursivo,20,0.07328
Fibonacci,Iterativo,25,0.00102
Fibonacci,Recursivo,25,1.20016
Fibonacci,Iterativo,30,0.00116
Fibonacci,Recursivo,30,7.80482
BusquedaLineal,Iterativo,100,0.15572
BusquedaLineal,Recursivo,100,0.01279
BusquedaLineal,Iterativo,500,0.01317
BusquedaLineal,Recursivo,500,0.24159
BusquedaLineal,Iterativo,1000,0.36039
BusquedaLineal,Recursivo,1000,0.01054
BusquedaLineal,Iterativo,5000,0.13162
BusquedaLineal,Recursivo,5000,0.06197
BusquedaLineal,Iterativo,10000,1.37559
BusquedaLineal,Recursivo,10000,0.42339
Burbuja,Iterativo,100,0.66962
Burbuja,Recursivo,100,0.1272
Burbuja,Iterativo,500,3.04651
Burbuja,Recursivo,500,1.53957
Burbuja,Iterativo,1000,2.33887
Burbuja,Recursivo,1000,2.45456
Burbuja,Iterativo,5000,49.11414
Burbuja,Recursivo,5000,53.75445
Burbuja,Iterativo,10000,245.77081
Burbuja,Recursivo,10000,242.80122
